Tarefa;T1-AntesDeIniciarConexoes;T2-AposConexaoDoPrimeiroEscravo;T3-AposDoSegundoConexao
;;1491939005864;1491939006628
1788;1491939181625;1491939182599;1491939182818
3664;1491939391660;1491939393535;1491939395576
5504;1491939601755;1491939603231;1491939603675
6793;1491939751759;1491939753763;1491939755777
