Tarefa;T1-AntesDeIniciarConexoes;T2-AposConexaoDoPrimeiroEscravo;T3-AposDoSegundoConexao
;;1492016933750;1492016934350
1948;1492017121897;1492017122480;1492017125223
2437;1492017181942;1492017182804;1492017183220
5256;1492017501265;1492017503816;1492017506904
5426;1492017526922;1492017528361;1492017528901
