Contador;Tempo;Tempo Milisegundos;;;Total Hosts Ativos;Total CPU Alocada;Total CPU Usada;Total RAM Alocada;Total RAM Usada;CPU Limite Superior;CPU Limite Inferior;% Carga de CPU;Load Calculado;Threshold Inferior;Threshold Superior;Tempos de Monitoramento;;;;;;
50;735;1,49203E+12;21:40:28;00:08:44;2;200;160,8;1536;1536;160;80;0,804;0,7957704;0,4;0,8;;1492033224;1492033216;;;;
51;750;1,49203E+12;21:40:43;00:08:59;4;400;160,3;3072;3072;320;160;0,40075;0,5982602;0,4;0,8;;1492033238;1492033232;1492033240;1492033231;;
52;765;1,49203E+12;21:41:00;00:09:16;4;400;285,6;3072;3072;320;160;0,714;0,6561301;0,4;0,8;;1492033255;1492033251;1492033256;1492033250;;
53;780;1,49203E+12;21:41:13;00:09:29;4;400;282,1;3072;3072;320;160;0,70525;0,68069005;0,4;0,8;;1492033258;1492033270;1492033258;1492033268;;
54;795;1,49203E+12;21:41:28;00:09:44;4;400;292,1;3072;3072;320;160;0,73025;0,70547;0,4;0,8;;1492033278;1492033284;1492033278;1492033283;;
55;810;1,49203E+12;21:41:43;00:09:59;4;400;296,6;3072;3072;320;160;0,7415;0,723485;0,4;0,8;;1492033298;1492033290;1492033297;1492033288;;
56;825;1,49203E+12;21:41:58;00:10:14;4;400;293,6;3072;3072;320;160;0,734;0,7287425;0,4;0,8;;1492033312;1492033310;1492033314;1492033308;;
57;840;1,49203E+12;21:42:13;00:10:29;4;400;290,6;3072;3072;320;160;0,72650003;0,72762126;0,4;0,8;;1492033326;1492033330;1492033318;1492033328;;
58;855;1,49203E+12;21:42:28;00:10:44;4;400;293,6;3072;3072;320;160;0,734;0,73081064;0,4;0,8;;1492033342;1492033345;1492033338;1492033343;;
59;870;1,49203E+12;21:42:43;00:10:59;4;400;292,69998;3072;3072;320;160;0,73174995;0,7312803;0,4;0,8;;1492033359;1492033354;1492033358;1492033353;;
60;885;1,49203E+12;21:42:58;00:11:14;4;400;288,6;3072;3072;320;160;0,72150004;0,7263902;0,4;0,8;;1492033363;1492033374;1492033372;1492033373;;
61;900;1,49203E+12;21:43:13;00:11:29;4;400;292,6;3072;3072;320;160;0,7315;0,72894514;0,4;0,8;;1492033382;1492033389;1492033379;1492033388;;
62;915;1,49203E+12;21:43:28;00:11:44;4;400;297,3;3072;3072;320;160;0,74324995;0,7360976;0,4;0,8;;1492033402;1492033394;1492033398;1492033393;;
63;930;1,49203E+12;21:43:43;00:11:59;4;400;302,6;3072;3072;320;160;0,7565;0,7462988;0,4;0,8;;1492033420;1492033414;1492033418;1492033413;;
64;945;1,49203E+12;21:43:59;00:12:15;4;400;302,6;3072;3072;320;160;0,7565;0,7513994;0,4;0,8;;1492033422;1492033435;1492033434;1492033434;;
65;960;1,49203E+12;21:44:13;00:12:29;4;400;305,6;3072;3072;320;160;0,764;0,7576997;0,4;0,8;;1492033443;1492033450;1492033442;1492033449;;
66;975;1,49203E+12;21:44:28;00:12:44;4;400;302,6;3072;3072;320;160;0,7565;0,75709987;0,4;0,8;;1492033463;1492033455;1492033463;1492033453;;
67;990;1,49203E+12;21:44:45;00:13:01;4;400;306,1;3072;3072;320;160;0,76525;0,7611749;0,4;0,8;;1492033480;1492033480;1492033481;1492033478;;
68;1005;1,49203E+12;21:44:58;00:13:14;4;400;300,8;3072;3072;320;160;0,752;0,75658745;0,4;0,8;;1492033485;1492033487;1492033484;1492033486;;
69;1020;1,49203E+12;21:45:13;00:13:29;4;400;306,1;3072;3072;320;160;0,76525;0,76091874;0,4;0,8;;1492033505;1492033504;1492033504;1492033502;;
70;1035;1,49203E+12;21:45:28;00:13:44;4;400;303,6;3072;3072;320;160;0,759;0,75995934;0,4;0,8;;1492033521;1492033521;1492033524;1492033518;;
71;1050;1,49203E+12;21:45:43;00:13:59;4;400;299,1;3072;3072;320;160;0,74775004;0,7538547;0,4;0,8;;1492033528;1492033540;1492033537;1492033538;;
72;1065;1,49203E+12;21:45:58;00:14:14;4;400;305,1;3072;3072;320;160;0,76275;0,75830233;0,4;0,8;;1492033547;1492033555;1492033542;1492033554;;
73;1080;1,49203E+12;21:46:13;00:14:29;4;400;309,6;3072;3072;320;160;0,774;0,7661512;0,4;0,8;;1492033568;1492033560;1492033563;1492033558;;
74;1095;1,49203E+12;21:46:28;00:14:44;4;400;311,1;3072;3072;320;160;0,77775;0,7719506;0,4;0,8;;1492033585;1492033579;1492033584;1492033577;;
75;1110;1,49203E+12;21:46:43;00:14:59;4;400;304,2;3072;3072;320;160;0,7605;0,76622534;0,4;0,8;;1492033588;1492033599;1492033598;1492033598;;
76;1125;1,49203E+12;21:46:58;00:15:14;4;400;312,1;3072;3072;320;160;0,78025;0,7732377;0,4;0,8;;1492033608;1492033614;1492033604;1492033613;;
77;1140;1,49203E+12;21:47:13;00:15:29;4;400;313,1;3072;3072;320;160;0,78275;0,77799386;0,4;0,8;;1492033628;1492033625;1492033625;1492033623;;
78;1155;1,49203E+12;21:47:29;00:15:45;4;400;299,1;3072;3072;320;160;0,74775004;0,762872;0,4;0,8;;1492033645;1492033644;1492033640;1492033643;;
