Tarefa;T1-AntesDeIniciarConexoes;T2-AposConexaoDoPrimeiroEscravo;T3-AposDoSegundoConexao
;;1492731443114;1492731445230
158;1492731501051;1492731502529;1492731502949
448;1492731560913;1492731561766;1492731563664
853;1492731623745;1492731624294;1492731624677
1022;1492731650904;1492731652037;1492731654494
1330;1492731695933;1492731696947;1492731698579
1793;1492731761943;1492731762672;1492731763663
2443;1492731851575;1492731852080;1492731854641
3019;1492731932498;1492731933794;1492731934401
