T1-AntesDeConectar;T2-AposConectar
1492015635239;1492015650176

Contador;IniLoop
394;1492015705277
395;1492015705423
396;1492015705572
397;1492015705713
398;1492015705854
399;1492015705996
400;1492015706140
401;1492015706283
402;1492015706424
403;1492015706568
404;1492015706707
405;1492015706848
406;1492015706988
407;1492015707130
408;1492015707273
409;1492015707426
410;1492015707569
411;1492015707717
412;1492015707858
413;1492015707999
414;1492015708148
415;1492015708291
416;1492015708435
417;1492015708577
418;1492015708720
419;1492015708863
420;1492015709005
421;1492015709149
422;1492015709292
423;1492015709439
424;1492015709582
425;1492015709723
426;1492015709865
427;1492015710009
428;1492015710147
429;1492015710292
430;1492015710437
431;1492015710581
432;1492015710727
433;1492015710872
434;1492015711016
435;1492015711157
436;1492015711302
437;1492015711444
438;1492015711585
439;1492015711730
440;1492015711871
441;1492015712017
442;1492015712161
443;1492015712304
444;1492015712445
445;1492015712590
446;1492015712731
447;1492015712873
448;1492015713017
449;1492015713159
450;1492015713301
451;1492015713446
452;1492015713588
453;1492015713732
454;1492015713879
455;1492015714020
456;1492015714167
457;1492015714307
458;1492015714448
459;1492015714592
460;1492015714737
461;1492015714881
462;1492015715022
463;1492015715164
464;1492015715307
465;1492015715448
466;1492015715593
467;1492015715735
468;1492015715881
469;1492015716024
470;1492015716171
471;1492015716314
472;1492015716458
473;1492015716600
474;1492015716745
475;1492015716895
476;1492015717035
477;1492015717183
478;1492015717325
479;1492015717468
480;1492015717609
481;1492015717758
482;1492015717900
483;1492015718045
484;1492015718194
485;1492015718336
486;1492015718481
487;1492015718625
488;1492015718769
489;1492015718913
490;1492015719058
491;1492015719200
492;1492015719346
493;1492015719490
494;1492015719632
495;1492015719774
496;1492015719918
497;1492015720065
498;1492015720207
499;1492015720363
500;1492015720497
501;1492015720642
502;1492015720786
503;1492015720928
504;1492015721069
505;1492015721214
506;1492015721356
507;1492015721501
508;1492015721645
509;1492015721788
510;1492015721934
511;1492015722079
512;1492015722220
513;1492015722366
514;1492015722510
515;1492015722654
516;1492015722799
517;1492015722949
518;1492015723090
519;1492015723235
520;1492015723377
521;1492015723522
522;1492015723666
523;1492015723815
524;1492015723958
525;1492015724102
526;1492015724245
527;1492015724388
528;1492015724534
529;1492015724678
530;1492015724820
531;1492015724970
532;1492015725111
533;1492015725253
534;1492015725398
535;1492015725543
536;1492015725692
537;1492015725839
538;1492015725983
539;1492015726124
540;1492015726271
541;1492015726414
542;1492015726556
543;1492015726702
544;1492015726846
545;1492015726989
546;1492015727135
547;1492015727278
548;1492015727421
549;1492015727568
550;1492015727709
551;1492015727852
552;1492015727998
553;1492015728141
554;1492015728288
555;1492015728446
556;1492015728621
557;1492015728765
558;1492015728910
559;1492015729058
560;1492015729204
561;1492015729350
562;1492015729498
563;1492015729641
564;1492015729787
565;1492015729930
566;1492015730074
567;1492015730218
568;1492015730362
569;1492015730505
570;1492015730651
571;1492015730795
572;1492015730937
573;1492015731082
574;1492015731226
575;1492015731370
576;1492015731515
577;1492015731658
578;1492015731801
579;1492015731951
580;1492015732098
581;1492015732242
582;1492015732388
583;1492015732531
584;1492015732673
585;1492015732819
586;1492015732969
587;1492015733126
588;1492015733272
589;1492015733418
590;1492015733559
591;1492015733703
592;1492015733847
593;1492015733989
594;1492015734134
595;1492015734280
596;1492015734421
597;1492015734576
598;1492015734735
599;1492015734873
600;1492015735019
601;1492015735163
602;1492015735305
603;1492015735451
604;1492015735595
605;1492015735738
606;1492015735885
607;1492015736027
608;1492015736170
609;1492015736314
610;1492015736464
611;1492015736611
612;1492015736756
613;1492015736905
614;1492015737049
615;1492015737192
616;1492015737339
617;1492015737482
618;1492015737626
619;1492015737771
620;1492015737914
621;1492015738059
622;1492015738203
623;1492015738348
624;1492015738491
625;1492015738639
626;1492015738785
627;1492015738934
628;1492015739082
629;1492015739225
630;1492015739372
631;1492015739518
