Tarefa;T1-AntesDasDesconexoes;T2-AposDesconexoes
5366;1492729574378;1492729574631
6463;1492729709322;1492729710403
7454;1492729829090;1492729829149
8279;1492729919072;1492729919281
8983;1492729994039;1492729994557
