Tarefa;T1-AntesDeIniciarConexoes;T2-AposConexaoDoPrimeiroEscravo;T3-AposDoSegundoConexao
;;1492728807080;1492728808393
167;1492728856139;1492728857312;1492728857583
463;1492728916053;1492728916432;1492728917433
859;1492728976072;1492728977313;1492728978037
1044;1492729006057;1492729007014;1492729007695
1489;1492729066134;1492729066797;1492729068306
