T1-AntesDeConectar;T2-AposConectar
1492728603941;1492728808385

Contador;IniLoop
394;1492728902445
395;1492728902635
396;1492728902829
397;1492728903021
398;1492728903216
399;1492728903406
400;1492728903596
401;1492728903790
402;1492728903984
403;1492728904175
404;1492728904403
405;1492728904656
406;1492728904897
407;1492728905091
408;1492728905300
409;1492728905498
410;1492728905694
411;1492728905886
412;1492728906082
413;1492728906275
414;1492728906467
415;1492728906658
416;1492728906849
417;1492728907033
418;1492728907222
419;1492728907475
420;1492728907708
421;1492728907934
422;1492728908124
423;1492728908318
424;1492728908509
425;1492728908701
426;1492728908900
427;1492728909082
428;1492728909276
429;1492728909469
430;1492728909658
431;1492728909853
432;1492728910087
433;1492728910276
434;1492728910472
435;1492728910660
436;1492728910847
437;1492728911035
438;1492728911223
439;1492728911411
440;1492728911601
441;1492728911788
442;1492728911979
443;1492728912183
444;1492728912380
445;1492728912567
446;1492728912756
447;1492728912946
448;1492728913131
449;1492728913321
450;1492728913508
451;1492728913696
452;1492728913886
453;1492728914076
454;1492728914263
455;1492728914452
456;1492728914640
457;1492728914831
458;1492728915019
459;1492728915212
460;1492728915402
461;1492728915593
462;1492728915787
463;1492728915976
464;1492728917508
465;1492728917793
466;1492728917948
467;1492728918095
468;1492728918254
469;1492728918403
470;1492728918542
471;1492728918681
472;1492728918854
473;1492728918998
474;1492728919139
475;1492728919280
476;1492728919478
477;1492728919591
478;1492728919763
479;1492728919903
480;1492728920041
481;1492728920184
482;1492728920324
483;1492728920461
484;1492728920603
485;1492728920745
486;1492728920887
487;1492728921027
488;1492728921168
489;1492728921307
490;1492728921450
491;1492728921589
492;1492728921731
493;1492728921870
494;1492728922009
495;1492728922153
496;1492728922295
497;1492728922434
498;1492728922574
499;1492728922716
500;1492728922861
501;1492728923031
502;1492728923233
503;1492728923458
504;1492728923595
505;1492728923774
506;1492728923916
507;1492728924064
508;1492728924255
509;1492728924442
510;1492728924619
511;1492728924761
512;1492728924944
513;1492728925102
514;1492728925241
515;1492728925382
516;1492728925524
517;1492728925661
518;1492728925850
519;1492728925950
520;1492728926095
521;1492728926229
522;1492728926372
523;1492728926511
524;1492728926651
525;1492728926791
526;1492728926930
527;1492728927076
528;1492728927267
529;1492728927404
530;1492728927547
531;1492728927689
532;1492728927827
533;1492728927966
534;1492728928147
535;1492728928319
536;1492728928494
537;1492728928637
538;1492728928775
539;1492728928914
540;1492728929057
541;1492728929198
542;1492728929339
543;1492728929478
544;1492728929619
545;1492728929762
546;1492728929905
547;1492728930043
548;1492728930183
549;1492728930324
550;1492728930466
551;1492728930614
552;1492728930756
553;1492728930896
554;1492728931037
555;1492728931173
556;1492728931318
557;1492728931456
558;1492728931593
559;1492728931735
560;1492728931873
561;1492728932015
562;1492728932155
563;1492728932294
564;1492728932435
565;1492728932575
566;1492728932722
567;1492728932863
568;1492728933004
569;1492728933145
570;1492728933281
571;1492728933423
572;1492728933562
573;1492728933703
574;1492728933844
575;1492728933983
576;1492728934123
577;1492728934263
578;1492728934401
579;1492728934548
580;1492728934684
581;1492728934821
582;1492728934961
583;1492728935103
584;1492728935241
585;1492728935383
586;1492728935526
587;1492728935663
588;1492728935802
589;1492728935942
590;1492728936083
591;1492728936223
592;1492728936363
593;1492728936506
594;1492728936647
595;1492728936793
596;1492728936934
597;1492728937076
598;1492728937215
599;1492728937354
600;1492728937517
601;1492728937684
602;1492728937852
603;1492728938029
604;1492728938254
605;1492728938392
606;1492728938543
607;1492728938712
608;1492728938904
609;1492728939031
610;1492728939171
611;1492728939310
612;1492728939450
613;1492728939591
614;1492728939729
615;1492728939870
616;1492728940030
617;1492728940181
618;1492728940317
619;1492728940458
620;1492728940598
621;1492728940739
622;1492728940879
623;1492728941072
624;1492728941164
625;1492728941305
626;1492728941445
627;1492728941584
628;1492728941725
629;1492728941866
630;1492728942005
631;1492728942147
632;1492728942285
633;1492728942425
634;1492728942569
635;1492728942710
636;1492728942849
637;1492728942991
638;1492728943136
639;1492728943278
640;1492728943417
641;1492728943557
642;1492728943698
643;1492728943837
644;1492728943977
645;1492728944118
646;1492728944259
647;1492728944396
648;1492728944534
649;1492728944674
650;1492728944815
651;1492728944955
652;1492728945102
653;1492728945277
654;1492728945492
655;1492728945647
656;1492728945789
657;1492728945959
658;1492728946121
659;1492728946263
660;1492728946402
661;1492728946542
662;1492728946682
663;1492728946823
664;1492728946962
665;1492728947102
666;1492728947242
667;1492728947382
668;1492728947521
669;1492728947665
670;1492728947801
671;1492728947942
672;1492728948081
673;1492728948250
674;1492728948386
675;1492728948531
676;1492728948673
677;1492728948849
678;1492728949019
679;1492728949196
680;1492728949334
681;1492728949475
682;1492728949614
683;1492728949748
684;1492728949890
685;1492728950031
686;1492728950175
687;1492728950313
688;1492728950452
689;1492728950590
690;1492728950729
691;1492728950870
692;1492728951011
693;1492728951149
694;1492728951313
695;1492728951454
696;1492728951593
697;1492728951732
698;1492728951870
699;1492728952010
700;1492728952150
701;1492728952287
702;1492728952425
703;1492728952562
704;1492728952698
705;1492728952832
706;1492728952971
707;1492728953111
708;1492728953254
709;1492728953395
710;1492728953530
711;1492728953669
712;1492728953807
713;1492728953957
714;1492728954142
715;1492728954312
716;1492728954448
717;1492728954616
718;1492728954788
719;1492728954950
720;1492728955113
721;1492728955251
722;1492728955390
723;1492728955525
724;1492728955663
725;1492728955805
726;1492728955945
727;1492728956082
728;1492728956218
729;1492728956359
730;1492728956497
731;1492728956634
732;1492728956773
733;1492728956908
734;1492728957076
735;1492728957208
736;1492728957346
737;1492728957486
738;1492728957624
739;1492728957761
740;1492728957901
741;1492728958037
742;1492728958225
743;1492728958407
744;1492728958529
745;1492728958690
746;1492728958824
747;1492728958960
748;1492728959119
749;1492728959242
750;1492728959382
751;1492728959520
752;1492728959658
753;1492728959797
754;1492728959933
755;1492728960077
756;1492728960219
757;1492728960359
758;1492728960495
759;1492728960686
760;1492728960786
761;1492728960921
762;1492728961058
763;1492728961198
764;1492728961338
765;1492728961475
766;1492728961613
767;1492728961763
768;1492728961978
769;1492728962145
770;1492728962297
771;1492728962473
772;1492728962656
773;1492728962827
774;1492728963001
775;1492728963173
776;1492728963332
777;1492728963488
778;1492728963674
779;1492728963837
780;1492728963977
781;1492728964111
782;1492728964252
783;1492728964388
784;1492728964524
785;1492728964660
786;1492728964798
787;1492728964937
788;1492728965140
789;1492728965297
790;1492728965448
791;1492728965584
792;1492728965727
793;1492728965949
794;1492728966142
795;1492728966323
796;1492728966504
797;1492728966689
798;1492728966901
799;1492728967117
800;1492728967306
801;1492728967460
802;1492728967600
803;1492728967753
804;1492728967984
805;1492728968125
806;1492728968300
807;1492728968445
808;1492728968637
809;1492728968772
810;1492728968914
811;1492728969048
812;1492728969217
813;1492728969393
814;1492728969548
815;1492728969727
816;1492728969882
817;1492728970017
818;1492728970156
819;1492728970297
820;1492728970431
821;1492728970568
822;1492728970705
823;1492728970839
824;1492728970975
825;1492728971113
826;1492728971263
827;1492728971399
828;1492728971536
829;1492728971676
830;1492728971812
831;1492728971963
832;1492728972100
833;1492728972238
834;1492728972377
835;1492728972512
836;1492728972648
837;1492728972786
838;1492728972924
839;1492728973060
840;1492728973212
841;1492728973336
842;1492728973475
843;1492728973613
844;1492728973747
845;1492728973885
846;1492728974019
847;1492728974156
848;1492728974293
849;1492728974443
850;1492728974576
851;1492728974712
852;1492728974849
853;1492728974987
854;1492728975158
855;1492728975314
856;1492728975498
857;1492728975648
858;1492728975813
859;1492728975977
860;1492728978100
861;1492728978371
862;1492728978536
863;1492728978712
864;1492728978871
865;1492728979016
866;1492728979163
867;1492728979292
868;1492728979438
869;1492728979578
870;1492728979737
871;1492728979903
872;1492728980067
873;1492728980218
874;1492728980372
875;1492728980532
876;1492728980679
877;1492728980821
878;1492728980985
879;1492728981169
880;1492728981333
881;1492728981477
882;1492728981614
883;1492728981760
884;1492728981906
885;1492728982063
886;1492728982213
887;1492728982358
888;1492728982497
889;1492728982639
890;1492728982785
891;1492728982938
892;1492728983080
893;1492728983225
894;1492728983371
895;1492728983515
896;1492728983664
897;1492728983797
898;1492728983953
899;1492728984098
900;1492728984236
901;1492728984384
902;1492728984540
903;1492728984691
904;1492728984837
905;1492728984981
906;1492728985127
907;1492728985272
908;1492728985414
909;1492728985566
910;1492728985713
911;1492728985858
912;1492728986007
913;1492728986149
914;1492728986290
915;1492728986437
916;1492728986577
917;1492728986736
918;1492728986876
919;1492728987023
920;1492728987167
921;1492728987311
922;1492728987461
923;1492728987613
924;1492728987746
925;1492728987891
926;1492728988032
927;1492728988179
928;1492728988320
929;1492728988470
930;1492728988620
931;1492728988765
932;1492728988922
933;1492728989065
934;1492728989206
935;1492728989410
936;1492728989617
937;1492728989830
938;1492728990040
939;1492728990255
940;1492728990437
941;1492728990622
942;1492728990738
943;1492728990877
944;1492728991021
945;1492728991173
946;1492728991322
947;1492728991470
948;1492728991618
949;1492728991772
950;1492728991919
951;1492728992066
952;1492728992210
953;1492728992395
954;1492728992529
955;1492728992730
956;1492728992854
957;1492728993007
958;1492728993157
959;1492728993349
960;1492728993479
961;1492728993609
962;1492728993794
963;1492728993940
964;1492728994127
965;1492728994279
966;1492728994504
967;1492728994610
968;1492728994783
969;1492728994927
970;1492728995083
971;1492728995214
972;1492728995390
973;1492728995577
974;1492728995683
975;1492728995816
976;1492728995967
977;1492728996127
978;1492728996323
979;1492728996462
980;1492728996631
981;1492728996762
982;1492728996891
983;1492728997049
984;1492728997179
985;1492728997359
986;1492728997510
987;1492728997675
988;1492728997794
989;1492728997928
990;1492728998078
991;1492728998246
992;1492728998379
993;1492728998523
994;1492728998672
995;1492728998818
996;1492728998968
997;1492728999119
998;1492728999257
999;1492728999420
1000;1492728999550
1001;1492728999715
1002;1492728999855
1003;1492729000008
1004;1492729000156
1005;1492729000309
1006;1492729000465
1007;1492729000599
1008;1492729000741
1009;1492729000876
1010;1492729001025
1011;1492729001168
1012;1492729001324
1013;1492729001467
1014;1492729001608
1015;1492729001776
1016;1492729001898
1017;1492729002050
1018;1492729002202
1019;1492729002347
1020;1492729002497
1021;1492729002641
1022;1492729002781
1023;1492729002936
1024;1492729003077
1025;1492729003217
1026;1492729003364
1027;1492729003513
1028;1492729003654
1029;1492729003805
1030;1492729003950
1031;1492729004097
1032;1492729004242
1033;1492729004385
1034;1492729004532
1035;1492729004673
1036;1492729004812
1037;1492729004963
1038;1492729005100
1039;1492729005251
1040;1492729005377
1041;1492729005530
1042;1492729005669
1043;1492729005812
1044;1492729005956
1045;1492729007738
1046;1492729007978
1047;1492729008096
1048;1492729008212
1049;1492729008337
1050;1492729008476
1051;1492729008585
1052;1492729008725
1053;1492729008876
1054;1492729008981
1055;1492729009149
1056;1492729009305
1057;1492729009447
1058;1492729009624
1059;1492729009764
1060;1492729009939
1061;1492729010057
1062;1492729010177
1063;1492729010291
1064;1492729010428
1065;1492729010543
1066;1492729010676
1067;1492729010799
1068;1492729010930
1069;1492729011075
1070;1492729011253
1071;1492729011363
1072;1492729011529
1073;1492729011634
1074;1492729011733
1075;1492729011886
1076;1492729012056
1077;1492729012170
1078;1492729012274
1079;1492729012421
1080;1492729012552
1081;1492729012675
1082;1492729012775
1083;1492729012937
1084;1492729013047
1085;1492729013158
1086;1492729013288
1087;1492729013466
1088;1492729013580
1089;1492729013679
1090;1492729013840
1091;1492729013972
1092;1492729014096
1093;1492729014267
1094;1492729014368
1095;1492729014500
1096;1492729014625
1097;1492729014747
1098;1492729014869
1099;1492729014991
1100;1492729015143
1101;1492729015257
1102;1492729015387
1103;1492729015534
1104;1492729015666
1105;1492729015761
1106;1492729015883
1107;1492729016035
1108;1492729016147
1109;1492729016304
1110;1492729016419
1111;1492729016548
1112;1492729016667
1113;1492729016788
1114;1492729016887
1115;1492729017046
1116;1492729017135
1117;1492729017279
1118;1492729017409
1119;1492729017553
1120;1492729017677
1121;1492729017775
1122;1492729017909
1123;1492729018023
1124;1492729018161
1125;1492729018274
1126;1492729018403
1127;1492729018525
1128;1492729018647
1129;1492729018800
1130;1492729018905
1131;1492729019041
1132;1492729019144
1133;1492729019283
1134;1492729019400
1135;1492729019515
1136;1492729019645
1137;1492729019790
1138;1492729019919
1139;1492729020072
1140;1492729020211
1141;1492729020326
1142;1492729020503
1143;1492729020624
1144;1492729020749
1145;1492729020854
1146;1492729020996
1147;1492729021099
1148;1492729021237
1149;1492729021352
1150;1492729021486
1151;1492729021609
1152;1492729021735
1153;1492729021883
1154;1492729022033
1155;1492729022136
1156;1492729022248
1157;1492729022374
1158;1492729022495
1159;1492729022626
1160;1492729022765
1161;1492729022904
1162;1492729023024
1163;1492729023157
1164;1492729023255
1165;1492729023399
1166;1492729023531
1167;1492729023669
1168;1492729023789
1169;1492729023910
1170;1492729024038
1171;1492729024173
1172;1492729024275
1173;1492729024386
1174;1492729024512
1175;1492729024639
1176;1492729024797
1177;1492729024928
1178;1492729025035
1179;1492729025181
1180;1492729025307
1181;1492729025452
1182;1492729025560
1183;1492729025695
1184;1492729025822
1185;1492729025980
1186;1492729026141
1187;1492729026300
1188;1492729026407
1189;1492729026579
1190;1492729026760
1191;1492729026880
1192;1492729027003
1193;1492729027104
1194;1492729027227
1195;1492729027360
1196;1492729027486
1197;1492729027628
1198;1492729027763
1199;1492729027863
1200;1492729028002
1201;1492729028148
1202;1492729028262
1203;1492729028362
1204;1492729028488
1205;1492729028616
1206;1492729028772
1207;1492729028900
1208;1492729029001
1209;1492729029123
1210;1492729029247
1211;1492729029375
1212;1492729029495
1213;1492729029615
1214;1492729029740
1215;1492729029868
1216;1492729030014
1217;1492729030138
1218;1492729030253
1219;1492729030379
1220;1492729030529
1221;1492729030639
1222;1492729030785
1223;1492729030960
1224;1492729031126
1225;1492729031275
1226;1492729031444
1227;1492729031577
1228;1492729031716
1229;1492729031883
1230;1492729032086
1231;1492729032223
1232;1492729032355
1233;1492729032517
1234;1492729032636
1235;1492729032732
1236;1492729032856
1237;1492729032976
1238;1492729033100
1239;1492729033245
1240;1492729033371
1241;1492729033485
1242;1492729033614
1243;1492729033727
1244;1492729033864
1245;1492729033968
1246;1492729034122
1247;1492729034277
1248;1492729034397
1249;1492729034531
1250;1492729034635
1251;1492729034771
1252;1492729034900
1253;1492729034994
1254;1492729035136
1255;1492729035247
1256;1492729035396
1257;1492729035522
1258;1492729035610
1259;1492729035749
1260;1492729035882
1261;1492729036008
1262;1492729036134
1263;1492729036266
1264;1492729036398
1265;1492729036549
1266;1492729036680
1267;1492729036763
1268;1492729036906
1269;1492729037010
1270;1492729037137
1271;1492729037279
1272;1492729037379
1273;1492729037520
1274;1492729037619
1275;1492729037775
1276;1492729037900
1277;1492729038010
1278;1492729038106
1279;1492729038238
1280;1492729038363
1281;1492729038491
1282;1492729038609
1283;1492729038741
1284;1492729038859
1285;1492729038983
1286;1492729039124
1287;1492729039224
1288;1492729039369
1289;1492729039497
1290;1492729039599
1291;1492729039751
1292;1492729039870
1293;1492729039972
1294;1492729040090
1295;1492729040222
1296;1492729040356
1297;1492729040467
1298;1492729040614
1299;1492729040749
1300;1492729040908
1301;1492729041041
1302;1492729041213
1303;1492729041315
1304;1492729041426
1305;1492729041562
1306;1492729041706
1307;1492729041814
1308;1492729041929
1309;1492729042040
1310;1492729042177
1311;1492729042286
1312;1492729042408
1313;1492729042545
1314;1492729042665
1315;1492729042774
1316;1492729042896
1317;1492729043024
1318;1492729043179
1319;1492729043339
1320;1492729043435
1321;1492729043656
1322;1492729043781
1323;1492729043938
1324;1492729044068
1325;1492729044176
1326;1492729044308
1327;1492729044424
1328;1492729044558
1329;1492729044646
1330;1492729044769
1331;1492729044910
1332;1492729045044
1333;1492729045182
1334;1492729045352
1335;1492729045427
1336;1492729045546
1337;1492729045716
1338;1492729045831
1339;1492729045931
1340;1492729046070
1341;1492729046217
1342;1492729046302
1343;1492729046456
1344;1492729046576
1345;1492729046701
1346;1492729046817
1347;1492729046922
1348;1492729047060
1349;1492729047178
1350;1492729047278
1351;1492729047431
1352;1492729047529
1353;1492729047686
1354;1492729047804
1355;1492729047906
1356;1492729048024
1357;1492729048172
1358;1492729048274
1359;1492729048398
1360;1492729048519
1361;1492729048670
1362;1492729048795
1363;1492729048892
1364;1492729049019
1365;1492729049191
1366;1492729049335
1367;1492729049483
1368;1492729049647
1369;1492729049790
1370;1492729049922
1371;1492729050067
1372;1492729050192
1373;1492729050336
1374;1492729050430
1375;1492729050559
1376;1492729050685
1377;1492729050796
1378;1492729050938
1379;1492729051043
1380;1492729051165
1381;1492729051292
1382;1492729051420
1383;1492729051557
1384;1492729051658
1385;1492729051821
1386;1492729051936
1387;1492729052056
1388;1492729052210
1389;1492729052341
1390;1492729052459
1391;1492729052646
1392;1492729052815
1393;1492729052935
1394;1492729053118
1395;1492729053279
1396;1492729053390
1397;1492729053551
1398;1492729053711
1399;1492729053857
1400;1492729053987
1401;1492729054166
1402;1492729054349
1403;1492729054536
1404;1492729054688
1405;1492729054823
1406;1492729054983
1407;1492729055126
1408;1492729055260
1409;1492729055382
1410;1492729055510
1411;1492729055646
1412;1492729055729
1413;1492729055905
1414;1492729056110
1415;1492729056231
1416;1492729056335
1417;1492729056498
1418;1492729056629
1419;1492729056791
1420;1492729056916
1421;1492729057062
1422;1492729057178
1423;1492729057324
1424;1492729057430
1425;1492729057571
1426;1492729057657
1427;1492729057784
1428;1492729057928
1429;1492729058030
1430;1492729058146
1431;1492729058295
1432;1492729058390
1433;1492729058519
1434;1492729058659
1435;1492729058812
1436;1492729058992
1437;1492729059152
1438;1492729059298
1439;1492729059461
1440;1492729059601
1441;1492729059704
1442;1492729059868
1443;1492729060016
1444;1492729060198
1445;1492729060340
1446;1492729060483
1447;1492729060635
1448;1492729060779
1449;1492729060878
1450;1492729061000
1451;1492729061119
1452;1492729061239
1453;1492729061396
1454;1492729061546
1455;1492729061698
1456;1492729061812
1457;1492729061931
1458;1492729062067
1459;1492729062157
1460;1492729062301
1461;1492729062464
1462;1492729062591
1463;1492729062699
1464;1492729062892
1465;1492729063043
1466;1492729063202
1467;1492729063324
1468;1492729063449
1469;1492729063545
1470;1492729063670
1471;1492729063816
1472;1492729063952
1473;1492729064077
1474;1492729064186
1475;1492729064320
1476;1492729064438
1477;1492729064563
1478;1492729064703
1479;1492729064821
1480;1492729064972
1481;1492729065070
1482;1492729065218
1483;1492729065333
1484;1492729065466
1485;1492729065585
1486;1492729065699
1487;1492729065813
1488;1492729065930
1489;1492729066068
1490;1492729068364
1491;1492729068606
1492;1492729068732
1493;1492729068854
1494;1492729069041
1495;1492729069243
1496;1492729069425
1497;1492729069582
1498;1492729069738
1499;1492729069968
1500;1492729070113
1501;1492729070243
1502;1492729070373
1503;1492729070526
1504;1492729070652
1505;1492729070781
1506;1492729070914
1507;1492729071049
1508;1492729071203
1509;1492729071332
1510;1492729071457
1511;1492729071594
1512;1492729071684
1513;1492729071848
1514;1492729071989
1515;1492729072131
1516;1492729072265
1517;1492729072342
1518;1492729072517
1519;1492729072665
1520;1492729072812
1521;1492729072966
1522;1492729073050
1523;1492729073221
1524;1492729073396
1525;1492729073575
1526;1492729073708
1527;1492729073882
1528;1492729074020
1529;1492729074128
1530;1492729074249
1531;1492729074416
1532;1492729074552
1533;1492729074670
1534;1492729074807
1535;1492729074930
1536;1492729075068
1537;1492729075198
1538;1492729075325
1539;1492729075460
1540;1492729075600
1541;1492729075689
1542;1492729075884
1543;1492729076025
1544;1492729076155
1545;1492729076253
1546;1492729076424
1547;1492729076548
1548;1492729076682
1549;1492729076817
1550;1492729076953
1551;1492729077081
1552;1492729077165
1553;1492729077339
1554;1492729077427
1555;1492729077593
1556;1492729077724
1557;1492729077858
1558;1492729077996
1559;1492729078129
1560;1492729078273
1561;1492729078423
1562;1492729078558
1563;1492729078691
1564;1492729078824
1565;1492729078912
1566;1492729079093
1567;1492729079175
1568;1492729079364
1569;1492729079453
1570;1492729079610
1571;1492729079735
1572;1492729079840
1573;1492729080040
1574;1492729080179
1575;1492729080259
1576;1492729080430
1577;1492729080557
1578;1492729080691
1579;1492729080777
1580;1492729080941
1581;1492729081077
1582;1492729081201
1583;1492729081336
1584;1492729081457
1585;1492729081590
1586;1492729081721
1587;1492729081849
1588;1492729082010
1589;1492729082092
1590;1492729082220
1591;1492729082408
1592;1492729082529
1593;1492729082632
1594;1492729082759
1595;1492729082869
1596;1492729083038
1597;1492729083177
1598;1492729083305
1599;1492729083431
1600;1492729083573
1601;1492729083692
1602;1492729083825
1603;1492729083954
1604;1492729084082
1605;1492729084195
1606;1492729084332
1607;1492729084453
1608;1492729084621
1609;1492729084716
1610;1492729084839
1611;1492729084966
1612;1492729085080
1613;1492729085242
1614;1492729085372
1615;1492729085509
1616;1492729085598
1617;1492729085773
1618;1492729085852
1619;1492729086013
1620;1492729086148
1621;1492729086246
1622;1492729086364
1623;1492729086536
1624;1492729086683
1625;1492729086764
1626;1492729086886
1627;1492729087048
1628;1492729087183
1629;1492729087270
1630;1492729087436
1631;1492729087564
1632;1492729087689
1633;1492729087817
1634;1492729087943
1635;1492729088026
1636;1492729088195
1637;1492729088321
1638;1492729088454
1639;1492729088582
1640;1492729088711
1641;1492729088850
1642;1492729088945
1643;1492729089109
1644;1492729089245
1645;1492729089365
1646;1492729089524
1647;1492729089672
1648;1492729089822
1649;1492729089903
1650;1492729090090
1651;1492729090185
1652;1492729090352
1653;1492729090481
1654;1492729090611
1655;1492729090743
1656;1492729090869
