Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
226;1492726788494;1492726788495
227;1492726788838;1492726788842
228;1492726789186;1492726789187
229;1492726789530;1492726789531
230;1492726789874;1492726789876
231;1492726790218;1492726791447
232;1492726791742;1492726791748
233;1492726791914;1492726791917
234;1492726792110;1492726792111
235;1492726792302;1492726792304
236;1492726792494;1492726792498
237;1492726792690;1492726792693
238;1492726792886;1492726792887
239;1492726793078;1492726793079
240;1492726793270;1492726793271
241;1492726793462;1492726793463
242;1492726793654;1492726793656
243;1492726793850;1492726793854
244;1492726794046;1492726794048
245;1492726794238;1492726794240
246;1492726794434;1492726794438
247;1492726794630;1492726794631
248;1492726794822;1492726794823
249;1492726795014;1492726795015
250;1492726795206;1492726795207
251;1492726795398;1492726795399
252;1492726795597;1492726795598
253;1492726795790;1492726795791
254;1492726795982;1492726795984
255;1492726796174;1492726796176
256;1492726796366;1492726796367
257;1492726796558;1492726796559
258;1492726796750;1492726796751
259;1492726796942;1492726796943
260;1492726797134;1492726797135
261;1492726797326;1492726797327
262;1492726797518;1492726797519
263;1492726797710;1492726797711
264;1492726797902;1492726797903
265;1492726798094;1492726798095
266;1492726798286;1492726798287
267;1492726798478;1492726798479
268;1492726798670;1492726798671
269;1492726798862;1492726798864
270;1492726799054;1492726799057
271;1492726799250;1492726799255
272;1492726799446;1492726799448
273;1492726799646;1492726799649
274;1492726799842;1492726799844
275;1492726800034;1492726800035
276;1492726800226;1492726800227
277;1492726800418;1492726800419
278;1492726800610;1492726800611
279;1492726800802;1492726800803
280;1492726800994;1492726800995
281;1492726801186;1492726801187
282;1492726801378;1492726801414
283;1492726801606;1492726801607
284;1492726801798;1492726801808
285;1492726801998;1492726801999
286;1492726802190;1492726802191
287;1492726802382;1492726802383
288;1492726802574;1492726802575
289;1492726802766;1492726802767
290;1492726802958;1492726802959
291;1492726803150;1492726803151
292;1492726803342;1492726803345
293;1492726803534;1492726803535
294;1492726803726;1492726803729
295;1492726803922;1492726803923
296;1492726804114;1492726804115
297;1492726804306;1492726804307
298;1492726804502;1492726804505
299;1492726804702;1492726804703
300;1492726804894;1492726804895
301;1492726805086;1492726805087
302;1492726805278;1492726805282
303;1492726805474;1492726805475
304;1492726805666;1492726805667
305;1492726805858;1492726805859
306;1492726806050;1492726806057
307;1492726806252;1492726806256
308;1492726806446;1492726806449
309;1492726806638;1492726806641
310;1492726806830;1492726806831
311;1492726807022;1492726807024
312;1492726807214;1492726807216
313;1492726807406;1492726807408
314;1492726807598;1492726807599
315;1492726807790;1492726807791
316;1492726807982;1492726807986
317;1492726808178;1492726808180
318;1492726808370;1492726808373
319;1492726808570;1492726808571
320;1492726808770;1492726808774
321;1492726808966;1492726808970
322;1492726809158;1492726809159
323;1492726809350;1492726809351
324;1492726809542;1492726809543
325;1492726809734;1492726809735
326;1492726809926;1492726809927
327;1492726810118;1492726810119
328;1492726810310;1492726810311
329;1492726810502;1492726810503
330;1492726810694;1492726810696
331;1492726810886;1492726810888
332;1492726811078;1492726811079
333;1492726811270;1492726811271
334;1492726811462;1492726811463
335;1492726811654;1492726811655
336;1492726811846;1492726811848
337;1492726812038;1492726812039
338;1492726812230;1492726812233
339;1492726812422;1492726812423
340;1492726812614;1492726812615
341;1492726812806;1492726812808
342;1492726812998;1492726812999
343;1492726813190;1492726813191
344;1492726813382;1492726813383
345;1492726813574;1492726813575
346;1492726813766;1492726813768
347;1492726813958;1492726813959
348;1492726814150;1492726814151
349;1492726814342;1492726814343
350;1492726814534;1492726814535
351;1492726814726;1492726814727
352;1492726814918;1492726814919
353;1492726815110;1492726815112
354;1492726815308;1492726815310
355;1492726815502;1492726815503
356;1492726815694;1492726815695
357;1492726815886;1492726815888
358;1492726816078;1492726816079
359;1492726816270;1492726816271
360;1492726816462;1492726816463
361;1492726816658;1492726816659
362;1492726816850;1492726816851
363;1492726817042;1492726817045
364;1492726817234;1492726817235
365;1492726817426;1492726817428
366;1492726817618;1492726817619
367;1492726817810;1492726817811
368;1492726818002;1492726818003
369;1492726818190;1492726818191
370;1492726818382;1492726818383
371;1492726818574;1492726818577
372;1492726818766;1492726818768
373;1492726818958;1492726818959
374;1492726819150;1492726819151
375;1492726819342;1492726819346
376;1492726819534;1492726819535
377;1492726819726;1492726819727
378;1492726819918;1492726819919
379;1492726820110;1492726820111
380;1492726820298;1492726820299
381;1492726820486;1492726820488
382;1492726820678;1492726820679
383;1492726820870;1492726820878
384;1492726821070;1492726821073
385;1492726821262;1492726821267
386;1492726821458;1492726821460
387;1492726821650;1492726821651
388;1492726821842;1492726821843
389;1492726822034;1492726822040
390;1492726822230;1492726822231
391;1492726822422;1492726822424
392;1492726822614;1492726822616
393;1492726822806;1492726822807
394;1492726823002;1492726823006
395;1492726823194;1492726823204
396;1492726823394;1492726823397
397;1492726823586;1492726823589
398;1492726823778;1492726823779
399;1492726823970;1492726823975
400;1492726824166;1492726824169
401;1492726824358;1492726824365
402;1492726824558;1492726824562
403;1492726824754;1492726824759
404;1492726824950;1492726824955
405;1492726825142;1492726825146
406;1492726825338;1492726825339
407;1492726825526;1492726825531
408;1492726825718;1492726825719
409;1492726825906;1492726825907
410;1492726826098;1492726826101
411;1492726826290;1492726826291
412;1492726826478;1492726826481
413;1492726826670;1492726826673
414;1492726826862;1492726826863
415;1492726827054;1492726827057
416;1492726827250;1492726827251
417;1492726827438;1492726827439
418;1492726827626;1492726827627
419;1492726827818;1492726827819
420;1492726828006;1492726828007
421;1492726828194;1492726828198
422;1492726828386;1492726828387
423;1492726828574;1492726828578
424;1492726828766;1492726828767
425;1492726828958;1492726828959
426;1492726829150;1492726829151
427;1492726829342;1492726829344
428;1492726829534;1492726829535
429;1492726829722;1492726829723
430;1492726829910;1492726829911
431;1492726830098;1492726830099
432;1492726830286;1492726830287
433;1492726830482;1492726830484
434;1492726830670;1492726830671
435;1492726830862;1492726830863
436;1492726831050;1492726831051
437;1492726831238;1492726831239
438;1492726831430;1492726831431
439;1492726831618;1492726831619
440;1492726831806;1492726831807
441;1492726831994;1492726831995
442;1492726832182;1492726832184
443;1492726832374;1492726832375
444;1492726832562;1492726832572
445;1492726832762;1492726832763
446;1492726832950;1492726832951
447;1492726833138;1492726833139
448;1492726833326;1492726833327
449;1492726833518;1492726833519
450;1492726833706;1492726833707
