T1-AntesDeConectar;T2-AposConectar
1491948399909;1491948444058

Contador;IniLoop
394;1491948479359
395;1491948479447
396;1491948479539
397;1491948479631
398;1491948479719
399;1491948479819
400;1491948479911
401;1491948479999
402;1491948480091
403;1491948480183
404;1491948480275
405;1491948480364
406;1491948480456
407;1491948480551
408;1491948480640
409;1491948480736
410;1491948480828
411;1491948480919
412;1491948481012
413;1491948481104
414;1491948481196
415;1491948481287
416;1491948481380
417;1491948481472
418;1491948481568
419;1491948481659
420;1491948481752
421;1491948481844
422;1491948481940
423;1491948482031
424;1491948482124
425;1491948482216
426;1491948482308
427;1491948482403
428;1491948482492
429;1491948482584
430;1491948482676
431;1491948482769
432;1491948482860
433;1491948482956
434;1491948483049
435;1491948483140
436;1491948483232
437;1491948483333
438;1491948483425
439;1491948483521
440;1491948483616
441;1491948483713
442;1491948483809
443;1491948483905
444;1491948484001
445;1491948484092
446;1491948484189
447;1491948484281
448;1491948484373
449;1491948484465
450;1491948484556
451;1491948484649
452;1491948484753
453;1491948484845
454;1491948484937
455;1491948485032
456;1491948485125
457;1491948485217
458;1491948485309
459;1491948485401
460;1491948485492
461;1491948485585
462;1491948485678
463;1491948485773
464;1491948485865
465;1491948485961
466;1491948486053
467;1491948486149
468;1491948486242
469;1491948486334
470;1491948486430
471;1491948486526
472;1491948486621
473;1491948486715
474;1491948486806
475;1491948486903
476;1491948486994
477;1491948487086
478;1491948487178
479;1491948487269
480;1491948487366
481;1491948487458
482;1491948487554
483;1491948487650
484;1491948487742
485;1491948487834
486;1491948487925
487;1491948488018
488;1491948488110
489;1491948488202
490;1491948488294
491;1491948488390
492;1491948488486
493;1491948488577
494;1491948488670
495;1491948488766
496;1491948488858
497;1491948488954
498;1491948489046
499;1491948489139
500;1491948489235
501;1491948489326
502;1491948489418
503;1491948489514
504;1491948489606
505;1491948489699
506;1491948489791
507;1491948489883
508;1491948489979
509;1491948490071
510;1491948490163
511;1491948490255
512;1491948490347
513;1491948490438
514;1491948490531
515;1491948490623
516;1491948490719
517;1491948490819
518;1491948490915
519;1491948491011
520;1491948491103
521;1491948491195
522;1491948491291
523;1491948491387
524;1491948491487
525;1491948491583
526;1491948491678
527;1491948491771
528;1491948491863
529;1491948491959
530;1491948492055
531;1491948492151
532;1491948492247
533;1491948492343
534;1491948492444
535;1491948492540
536;1491948492636
537;1491948492736
538;1491948492832
539;1491948492928
540;1491948493024
541;1491948493120
542;1491948493216
543;1491948493316
544;1491948493412
545;1491948493509
546;1491948493605
547;1491948493702
548;1491948493796
549;1491948493893
550;1491948493991
551;1491948494084
552;1491948494184
553;1491948494280
554;1491948494376
555;1491948494472
556;1491948494568
557;1491948494668
558;1491948494764
559;1491948494860
560;1491948494956
561;1491948495052
562;1491948495152
563;1491948495248
564;1491948495344
565;1491948495440
566;1491948495536
567;1491948495632
568;1491948495728
569;1491948495828
570;1491948495928
571;1491948496029
572;1491948496125
573;1491948496221
574;1491948496316
575;1491948496413
576;1491948496509
577;1491948496605
578;1491948496701
579;1491948496797
580;1491948496893
581;1491948496993
582;1491948497093
583;1491948497195
584;1491948497293
