Tarefa;T1-AntesDeIniciarConexoes;T2-AposConexaoDoPrimeiroEscravo;T3-AposDoSegundoConexao
;;1491949671449;1491949672578
8669;1491951306962;1491951307644;1491951308103
8977;1491951367508;1491951368168;1491951370188
9444;1491951441996;1491951443516;1491951446390
